week,rep,plastic,type,abundance,abundance_cor,log_abundance,type2
2,2_PET_3,PET,culturable,37.64705882352941,38.64705882352941,1.5871164481815068,(a)~LB~medium
2,2_PET_3,PET,coliform,16.470588235294116,17.470588235294116,1.2423075279389384,(b)~coliform
2,2_PET_3,PET,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_PVC_3,PVC,culturable,117.6470588235294,118.6470588235294,2.0742569768344916,(a)~LB~medium
2,2_PVC_3,PVC,coliform,30.58823529411765,31.58823529411765,1.4995253643212818,(b)~coliform
2,2_PVC_3,PVC,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_PP_3,PP,culturable,117.6470588235294,118.6470588235294,2.0742569768344916,(a)~LB~medium
2,2_PP_3,PP,coliform,16.470588235294116,17.470588235294116,1.2423075279389384,(b)~coliform
2,2_PP_3,PP,ecoli,2.3529411764705883,3.3529411764705883,0.5254259342942175,"(c)~italic(""E.coli"")"
2,2_LDPE_3,LDPE,culturable,343.52941176470586,344.52941176470586,2.537226302649686,(a)~LB~medium
2,2_LDPE_3,LDPE,coliform,40,41,1.6127838567197355,(b)~coliform
2,2_LDPE_3,LDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_HDPE_3,HDPE,culturable,583.5294117647059,584.5294117647059,2.7668063684418294,(a)~LB~medium
2,2_HDPE_3,HDPE,coliform,89.41176470588235,90.41176470588235,1.9562249461214711,(b)~coliform
2,2_HDPE_3,HDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_PET_4,PET,culturable,185.88235294117646,186.88235294117646,2.2715682934488735,(a)~LB~medium
2,2_PET_4,PET,coliform,0,1,0,(b)~coliform
2,2_PET_4,PET,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_PVC_4,PVC,culturable,268.2352941176471,269.2352941176471,2.4301319910490258,(a)~LB~medium
2,2_PVC_4,PVC,coliform,18.823529411764707,19.823529411764707,1.2971809794930647,(b)~coliform
2,2_PVC_4,PVC,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_PP_4,PP,culturable,30.58823529411765,31.58823529411765,1.4995253643212818,(a)~LB~medium
2,2_PP_4,PP,coliform,7.0588235294117645,8.058823529411764,0.9062716457781328,(b)~coliform
2,2_PP_4,PP,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_LDPE_4,LDPE,culturable,42.35294117647059,43.35294117647059,1.6370185664807775,(a)~LB~medium
2,2_LDPE_4,LDPE,coliform,28.235294117647058,29.235294117647058,1.4659074673550583,(b)~coliform
2,2_LDPE_4,LDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_HDPE_4,HDPE,culturable,228.23529411764707,229.23529411764707,2.360281484414416,(a)~LB~medium
2,2_HDPE_4,HDPE,coliform,77.6470588235294,78.6470588235294,1.8956824858837105,(b)~coliform
2,2_HDPE_4,HDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_PET_5,PET,culturable,430.5882352941176,431.5882352941176,2.6350695976965,(a)~LB~medium
2,2_PET_5,PET,coliform,18.823529411764707,19.823529411764707,1.2971809794930647,(b)~coliform
2,2_PET_5,PET,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_PVC_5,PVC,culturable,691.7647058823529,692.7647058823529,2.8405857536758776,(a)~LB~medium
2,2_PVC_5,PVC,coliform,58.8235294117647,59.8235294117647,1.7768720315444706,(b)~coliform
2,2_PVC_5,PVC,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_PP_5,PP,culturable,322.3529411764706,323.3529411764706,2.5096768155874565,(a)~LB~medium
2,2_PP_5,PP,coliform,23.529411764705884,24.529411764705884,1.3896871335954837,(b)~coliform
2,2_PP_5,PP,ecoli,0,1,0,"(c)~italic(""E.coli"")"
