site,plastic,rep,type,abundance,abundance_cor,log_abundance,type2
"falmouth
wharf",PET,"falmouth
wharf_PET_2",ecoli,9.5,10.5,1.021189299069938,"(c)~italic(""E.coli"")"
"falmouth
wharf",PET,"falmouth
wharf_PET_3",culturable,54.62,55.62,1.7452309845281406,(a)~LB~medium
"falmouth
wharf",PET,"falmouth
wharf_PET_3",coliform,7.12,8.120000000000001,0.9095560292411754,(b)~coliform
"falmouth
wharf",PET,"falmouth
wharf_PET_3",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PET,"falmouth
wharf_PET_4",culturable,33.25,34.25,1.5346605758284444,(a)~LB~medium
"falmouth
wharf",PET,"falmouth
wharf_PET_4",coliform,0,1,0,(b)~coliform
"falmouth
wharf",PET,"falmouth
wharf_PET_4",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PET,"falmouth
wharf_PET_5",culturable,498.72,499.72,2.6987267313033447,(a)~LB~medium
"falmouth
wharf",PET,"falmouth
wharf_PET_5",coliform,66.5,67.5,1.8293037728310249,(b)~coliform
"falmouth
wharf",PET,"falmouth
wharf_PET_5",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PET,"falmouth
wharf_PET_6",culturable,94.99,95.99,1.9822259916746747,(a)~LB~medium
"falmouth
wharf",PET,"falmouth
wharf_PET_6",coliform,4.75,5.75,0.7596678446896304,(b)~coliform
"falmouth
wharf",PET,"falmouth
wharf_PET_6",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PVC,"falmouth
wharf_PVC_1",culturable,135.37,136.37,2.1347188405003945,(a)~LB~medium
"falmouth
wharf",PVC,"falmouth
wharf_PVC_1",coliform,16.62,17.62,1.2460059040760292,(b)~coliform
"falmouth
wharf",PVC,"falmouth
wharf_PVC_1",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PVC,"falmouth
wharf_PVC_2",culturable,166.24,167.24,2.223340158878377,(a)~LB~medium
"falmouth
wharf",PVC,"falmouth
wharf_PVC_2",coliform,4.75,5.75,0.7596678446896304,(b)~coliform
"falmouth
wharf",PVC,"falmouth
wharf_PVC_2",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PVC,"falmouth
wharf_PVC_3",culturable,64.12,65.12,1.813714391881145,(a)~LB~medium
"falmouth
wharf",PVC,"falmouth
wharf_PVC_3",coliform,0,1,0,(b)~coliform
